Package,Version
abind,1.4-5
acepack,1.4.1
actuar,2.3-1
ada,2.0-5
AdaptFit,0.2-2
additivityTests,1.1-4
ade4,1.7-11
adegraphics,1.0-10
adehabitatLT,0.3.23
adehabitatMA,0.3.12
adimpro,0.8.2
AER,1.2-5
AGD,0.39
akima,0.6-2
alr3,2.0.7
alr4,1.0.6
amap,0.8-16
Amelia,1.7.5
analogue,0.17-0
AnalyzeFMRI,1.1-17
animation,2.5
aod,1.3
ape,5.1
aplpack,1.3.0
archetypes,2.2-0
arm,1.10-1
aroma.apd,0.6.0
ars,0.5
arules,1.6-1
arulesViz,1.3-1
ascii,2.1
ash,1.0-15
assertthat,0.2.0
astsa,1.8
AUC,0.3.0
audio,0.1-5
aws,1.9-6
awsMethods,1.1-0
backports,1.1.2
base64enc,0.1-3
base64url,1.4
baseline,1.2-1
BatchJobs,1.7
batchtools,0.9.11
bayesm,3.1-0.1
BayesX,0.3-0
BB,2014.10-1
BBmisc,1.11
bbmle,1.0.20
bdsmatrix,1.3-3
bestglm,0.37
BH,1.66.0-1
bibtex,0.4.2
biclust,2.0.0
bigGP,0.1-6
biglm,0.9-1
bigmemory,4.5.33
bigmemory.sri,0.1.3
bindr,0.1.1
bindrcpp,0.2.2
bit,1.1-14
bit64,0.9-7
bitops,1.0-6
blob,1.1.1
BMA,3.18.8
bnlearn,4.3
bookdown,0.7
BradleyTerry2,1.0-8
brew,1.0-6
brglm,0.6.1
broom,0.4.4
Cairo,1.5-9
calibrate,1.7.2
calibrator,1.2-6
callr,2.0.4
car,3.0-0
carData,3.0-1
care,1.1.10
caret,6.0-80
caTools,1.17.1
catspec,0.97
cba,0.2-19
cellranger,1.1.0
checkmate,1.8.5
checkpoint,0.4.5
checkr,0.2.0
chemometrics,1.4.2
chron,2.3-52
CircStats,0.2-4
classInt,0.2-3
cli,1.0.0
climextRemes,0.2.0
clisymbols,1.2.0
clusterGeneration,1.3.4
cmprsk,2.2-7
coda,0.19-1
coin,1.2-2
colorspace,1.3-2
combinat,0.0-8
commonmark,1.5
compositions,1.40-1
CompQuadForm,1.4.3
conf.design,2.0.0
config,0.3
corpcor,1.6.9
corrplot,0.84
cowplot,0.9.3
coxme,2.2-10
crayon,1.3.4
crosstalk,1.0.0
crossval,1.0.3
cshapes,0.6
