Package,Version
affxparser,1.50.0
affy,1.56.0
affyio,1.48.0
affyPLM,1.54.0
altcdfenvs,2.40.0
annaffy,1.50.0
annotate,1.56.2
AnnotationDbi,1.40.0
aroma.light,3.8.0
baySeq,2.12.0
Biobase,2.38.0
BiocGenerics,0.24.0
BiocInstaller,1.28.0
BiocParallel,1.12.0
biocViews,1.46.0
biomaRt,2.34.2
Biostrings,2.46.0
bridge,1.42.0
BSgenome,1.46.0
bsseq,1.14.0
BufferedMatrix,1.42.0
BufferedMatrixMethods,1.42.0
DEGseq,1.32.0
DelayedArray,0.4.1
DESeq,1.30.0
DESeq2,1.18.1
DNAcopy,1.52.0
DSS,2.26.0
DynDoc,1.56.0
EDASeq,2.12.0
edge,2.10.0
edgeR,3.20.9
gcrma,2.50.0
genefilter,1.60.0
geneplotter,1.56.0
GenomeInfoDb,1.14.0
GenomicAlignments,1.10.1
GenomicFeatures,1.30.3
GenomicRanges,1.30.3
graph,1.56.0
HDF5Array,1.6.0
hypergraph,1.50.0
Icens,1.50.0
impute,1.52.0
IRanges,2.12.0
lfa,1.8.0
limma,3.34.9
LPE,1.52.0
makecdfenv,1.54.0
marray,1.56.0
MergeMaid,2.50.0
Mfuzz,2.38.0
oligoClasses,1.40.0
OLIN,1.56.0
OrderedList,1.50.0
pcaMethods,1.70.0
preprocessCore,1.40.0
qvalue,2.10.0
rama,1.52.0
RbcBook1,1.46.0
RBGL,1.54.0
Rgraphviz,2.22.0
rhdf5,2.22.0
Rsamtools,1.30.0
rtracklayer,1.38.3
RUVSeq,1.12.0
S4Vectors,0.16.0
seqLogo,1.44.0
ShortRead,1.36.1
SingleCellExperiment,1.0.0
snm,1.26.0
SNPchip,2.24.0
SummarizedExperiment,1.8.1
sva,3.26.0
tkWidgets,1.56.0
twilight,1.54.0
TypeInfo,1.44.0
widgetTools,1.56.0
XVector,0.18.0
zlibbioc,1.24.0
